"","Actinocyclus_spp","Alveophora_americana","Amphora_coffeaeformis","Amphora_spp","Anomoeneis_sculpta","Aulocoseira_ambigua","Aulocoseira_canadensis","Aulocoseira_pusilla","Aulocoseira_spp","Aulocoseira_subarctica","Aulocoseira_tenella","Chaetoceros_spp","Cocconeis_spp","Craticula_spp","Cyclostephanos_tholiformis","Cyclotella_spp","Cymbella_cymbiformis","Cymbella_spp","Encyonema_spp","Epithemia_musculus","Eunotia_spp","Fragilaria_vaucheriae","Geissleria_spp","Lindavia_rossii","Navicula_spp","Nitzschia_fonticola","Planothidium_apiculatum","Planothidium_delicatulum","Pliocaenicus_spp","Pseudostaurosira_brevistriata","Punctastriata_mimetica","Semiorbis_spp","Staurosira_construens_var_binodis","Staurosira_construens_var_construens","Staurosira_construens_var_venter","Staurosirella_leptostauron_var_leptostauron","Staurosirella_pinnata","Staurosirella_spp","Stephanodiscus_spp","Surirella_amphioxys","Tetracyclus_spp","Unknown_spp","Amphora_copulata","Aulacoseira_ambigua","Aulacoseira_granulata","Aulacoseira_iirata","Aulacoseira_islandica","Aulacoseira_nivaloides","Aulacoseira_pusilla","Aulacoseira_spp","Aulacoseira_subarctica","Aulacoseira_tenella","Caponea_spp","Cocconeis_klamathensis","Cyclostephanos_spp","Epithemia_gibberula","Fragilariforma_nitzschioides","Licomphora_spp","Melosira_spp","Pseudostaurosira_neoelliptica","Pseudostaurosiropsis_spp","Rhopalodia_spp","Surirella_spp","Tetracyclus_emarginatus","Tetracyclus_glans","spp_spp","Epithemia_Rhopalodia","Aneumastus_psuedotusculus","Licmophora_spp","Entomoneis_punctulata","Epithemia_spp","Tetracyclus_rupestris","Aneumastus_spp","Aulacoseira_nygaardii","Caponea_caribbea","Diploneis_spp","Gomphoneis_minuata"
"V356056_LXXXX",0,0,0,0,0,2,0,2,42,0,36,0,0,0,24,0,0,4,0,2,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,40,2,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356062_LXXXX",0,0,0,0,0,0,0,0,15,0,13,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"V356066_LXXXX",0,0,0,0,0,0,0,0,19,0,21,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,1,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356080_LXXXX",0,0,2,4,0,0,0,0,146,2,74,0,0,0,36,0,0,12,0,2,2,0,0,0,0,0,0,0,20,0,2,8,0,0,0,0,10,0,0,26,2,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356093_LXXXX",0,0,0,0,0,0,0,0,22,0,14,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,32,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356105_LXXXX",0,0,0,0,0,0,0,4,24,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356116_LXXXX",0,0,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356122_LXXXX",0,0,0,0,0,0,0,4,19,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356164_LXXXX",0,0,0,0,0,0,0,2,64,0,36,0,0,0,16,0,0,42,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,2,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"V356174_LXXXX",0,0,0,0,4,0,0,2,82,0,18,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356200_LXXXX",0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356208_LXXXX",0,0,0,0,0,0,0,0,50,0,18,0,0,0,14,0,0,30,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"V356220_LXXXX",0,0,0,0,0,0,0,0,86,2,42,0,0,2,10,0,0,8,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,8,4,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"V356241_LXXXX",0,0,0,0,2,0,0,10,44,0,20,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356296_LXXXX",0,0,0,0,0,0,2,16,126,0,100,0,0,0,16,0,0,32,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,8,2,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"V356310_LXXXX",0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,4,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V356317_LXXXX",0,0,0,0,0,0,0,20,266,6,84,0,0,0,22,2,0,62,0,4,0,0,0,0,0,0,0,0,22,2,0,10,0,0,0,0,0,0,0,28,0,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
