"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","fish_id","bin","part_type"
1656,"V331753_L1480_1_P.jpg",2268.0714,298.8159,0,NA,0,1,158.8584,0,1,94.7259,0,0,0,0,0,6,90.4489,2,289.5272,NA,0,387.2906,284.4943,327.6049,60.075,555.3972,"V331753","L1480","P"
1657,"V331754_L1481_1_P.jpg",NA,531.1972,0,NA,0,0,NA,0,1,98.9545,0,7,6,0,12,5,173.1589,2,277.4167,274.6343,0,658.3859,530.5544,382.8733,NA,696.563,"V331754","L1481","P"
1658,"V331755_L1482_1_P.jpg",4617.1177,574.4641,0,NA,0,1,267.3724,0,1,120.9297,0,0,0,16,13,6,100.3195,0,NA,NA,0,213.8411,724.011,612.4573,193.0389,684.2339,"V331755","L1482","P"
1659,"V331756_L1483_1_P.jpg",NA,505.4189,0,NA,0,0,NA,0,1,136.0588,0,7,0,17,12,0,NA,0,NA,NA,0,577.8443,721.1103,NA,NA,698.169,"V331756","L1483","P"
1660,"V331757_L1484_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,527.0531,384.246,187.8776,684.697,"V331757","L1484","P"
1661,"V331758_L1485_1_P.jpg",4110.4199,524.4511,0,NA,0,1,208.9593,0,1,NA,0,0,0,0,0,4,184.1738,0,NA,NA,0,660.2424,616.2078,500.6396,130.2306,701.6438,"V331758","L1485","P"
1662,"V331759_L1486_1_P.jpg",2661.4329,360.0949,1,87.2067,0,1,232.6908,0,1,123.4706,0,8,9,18,11,5,58.3095,2,266.6083,224.2231,0,368.657,330.6781,246.6577,141.8732,685.6296,"V331759","L1486","P"
1663,"V331760_L1487_1_P.jpg",NA,386.6588,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,91.2414,NA,0,442.0192,402,377.1538,NA,682.6632,"V331760","L1487","P"
1664,"V331761_L1488_1_P.jpg",4299.0901,511.7672,0,NA,0,0,NA,0,1,106.2826,0,9,8,17,0,6,96.1665,0,NA,NA,0,437.831,678.3745,NA,184.9108,686.1953,"V331761","L1488","P"
1665,"V331762_L1489_1_P.jpg",3012.7962,NA,0,NA,0,0,NA,0,0,NA,0,9,0,0,0,0,112.45,0,NA,NA,0,180.8978,362.7148,337.6166,137.9021,690.163,"V331762","L1489","P"
1666,"V331763_L1490_1_P.jpg",4890.8282,613.024,0,NA,0,0,NA,0,0,NA,0,9,8,17,0,4,108.0417,0,NA,NA,0,157.0637,NA,NA,NA,NA,"V331763","L1490","P"
1667,"V331763_L1490_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,607.5953,408.7689,146.4923,NA,"V331763","L1490","P"
1668,"V331763_L1490_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,687.3602,"V331763","L1490","P"
1669,"V331764_L1491_1_P.jpg",NA,372.9426,0,NA,1,1,NA,0,1,115.447,0,9,0,0,0,0,109.1788,0,NA,NA,0,NA,NA,NA,64.4981,699.3311,"V331764","L1491","P"
1670,"V331765_L1492_1_P.jpg",3853.6466,466.6798,0,NA,0,0,NA,0,1,126.3012,0,9,7,14,9,5,157.6325,2,291.4515,NA,0,682.3606,593.5385,534.161,153.1013,668.1437,"V331765","L1492","P"
1671,"V331766_L1493_1_P.jpg",3965.0675,487.0821,0,NA,0,0,NA,0,1,126.3012,0,0,0,15,11,5,124.0645,2,392.3264,NA,0,653.6666,577.0269,399.3995,187.8297,720.3999,"V331766","L1493","P"
1672,"V331767_L1494_1_C.jpg",NA,476.2339,0,NA,0,0,NA,0,1,115.9655,0,8,0,0,0,5,160.1125,2,312.3396,NA,0,618.2847,NA,417.1714,NA,709.6703,"V331767","L1494","C"
1673,"V331768_L1495_1_P.jpg",NA,543.3646,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,138.6831,531.0085,NA,NA,732.0984,"V331768","L1495","P"
1674,"V331769_L1496_1_P.jpg",3239.9339,NA,0,NA,0,1,116.4302,0,1,113.7717,0,0,0,0,0,0,NA,2,296.0608,NA,0,497.4535,344.488,372.2633,78.8923,725.2089,"V331769","L1496","P"
1675,"V331770_L1497_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,NA,0,0,0,17,0,5,105,0,NA,NA,0,201.0895,559.6508,NA,NA,648.0069,"V331770","L1497","P"
1676,"V331771_L1498_1_C.jpg",NA,610.1771,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,583.9221,468.4709,114.6298,736.7673,"V331771","L1498","C"
1677,"V331772_L1499_1_P.jpg",4665.8676,549.167,0,NA,0,0,NA,0,1,136.7041,0,10,7,0,0,5,98.0612,0,NA,NA,0,NA,540.0148,520.3845,194.0309,724.2762,"V331772","L1499","P"
1678,"V331773_L1500_1_C.jpg",NA,569.7648,0,NA,0,0,NA,1,1,84.4808,0,10,8,15,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,718.2479,"V331773","L1500","C"
1679,"V331774_L1501_1_P.jpg",NA,538.9068,0,NA,0,0,NA,0,0,NA,0,10,0,0,13,4,153,0,NA,NA,0,NA,NA,NA,NA,NA,"V331774","L1501","P"
1680,"V331774_L1501_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,157.8924,655.6562,NA,NA,NA,"V331774","L1501","P"
1681,"V331774_L1501_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,168.1339,712.6184,"V331774","L1501","P"
1682,"V331775_L1502_1_P.jpg",NA,NA,0,NA,1,0,56.6039,1,1,NA,0,0,0,0,0,0,NA,2,310.2322,NA,0,350.782,296.8164,223.6068,NA,746.0965,"V331775","L1502","P"
1683,"V331776_L1503_1_P.jpg",NA,304.1311,1,132.6122,0,1,168.2409,0,1,112.45,0,9,0,17,11,6,119.4362,2,NA,304.9541,0,NA,NA,NA,NA,NA,"V331776","L1503","P"
1684,"V331776_L1503_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,376.7718,353.3511,235.5525,NA,712.8268,"V331776","L1503","P"
1685,"V331777_L1504_1_P.jpg",NA,650.5786,0,NA,0,1,253.393,0,1,109.8362,0,9,7,17,12,6,184.3909,0,NA,NA,0,160.1,611.1105,362.0829,NA,703.4543,"V331777","L1504","P"
1686,"V331778_L1505_1_P.jpg",NA,436.3323,0,NA,0,0,NA,0,1,125.5388,0,9,9,15,12,4,78.7909,0,NA,NA,0,124.964,NA,NA,NA,713.8964,"V331778","L1505","P"
1687,"V331779_L1506_1_P.jpg",3656.1532,462.1746,0,NA,0,0,NA,0,1,152.3155,0,9,8,17,11,5,154.5574,0,NA,NA,0,436.1651,430.8132,486.0453,209.8762,716.1899,"V331779","L1506","P"
1688,"V331780_L1507_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,792.2102,593.9848,NA,NA,715.4167,"V331780","L1507","P"
1689,"V331781_L1508_1_P.jpg",4719.0185,612.849,0,NA,0,0,NA,0,0,NA,0,10,8,18,0,5,93.6376,0,NA,NA,0,599.106,NA,543.2053,200.9975,711.6404,"V331781","L1508","P"
1690,"V331782_L1509_1_P.jpg",NA,474.0293,0,NA,0,0,NA,0,1,NA,0,0,0,17,0,0,NA,2,316.9858,NA,0,532.0601,408.5682,398.9185,NA,717.6071,"V331782","L1509","P"
1691,"V331783_L1510_1_P.jpg",NA,672.6275,0,NA,0,1,150.7846,0,1,133.6862,0,0,0,0,11,6,172.1859,2,317.6161,334.1856,0,722.8388,773.5839,627.0949,196.652,719.4776,"V331783","L1510","P"
1692,"V331784_L1511_1_P.jpg",4599.2086,587.9121,0,NA,0,0,NA,0,1,133.1465,0,0,0,17,0,6,176.0454,2,349.8342,NA,0,748.2673,648.3086,639.0618,161.2452,711.5279,"V331784","L1511","P"
1693,"V331785_L1512_1_P.jpg",4514.2849,568.3561,0,NA,0,0,NA,0,1,113.2784,0,8,9,18,11,5,185.0838,2,NA,376.3403,0,NA,NA,NA,NA,NA,"V331785","L1512","P"
1694,"V331785_L1512_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,632.0127,549.1812,632.8728,189.1877,708.1017,"V331785","L1512","P"
1695,"V331786_L1513_1_P.jpg",4441.0629,557.9762,0,NA,0,0,NA,0,0,NA,0,10,9,17,13,5,130.2306,2,235.491,318.4965,0,648.9499,521.8582,482.1618,181.4166,NA,"V331786","L1513","P"
1696,"V331786_L1513_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,730.0341,"V331786","L1513","P"
1697,"V331787_L1514_1_P.jpg",3229.0928,413.086,0,NA,0,0,NA,0,1,103.5761,0,0,0,18,11,5,138.0326,0,NA,NA,0,NA,412.0825,267.8582,84.0536,714.4032,"V331787","L1514","P"
1698,"V331788_L1515_1_P.jpg",3327.1395,369.4297,0,NA,0,0,NA,0,1,100.8018,0,0,0,16,12,7,110.0227,0,NA,NA,0,NA,388.3117,368.402,141.3825,727.1891,"V331788","L1515","P"
1699,"V331789_L1516_1_P.jpg",3076.8039,344.8895,0,NA,0,0,NA,0,1,111.3643,0,8,0,18,14,6,90.05,0,NA,NA,0,145.3994,374.0388,NA,NA,727.585,"V331789","L1516","P"
1700,"V331791_L1518_1_P.jpg",5058.8683,638.3228,0,NA,0,0,NA,0,1,146.4787,0,9,7,17,13,5,158.8584,2,362.4914,NA,0,672.1071,576.2812,NA,195.3458,726.0992,"V331791","L1518","P"
1701,"V331792_L1519_1_P.jpg",4864.7384,589.0991,0,NA,0,0,NA,0,1,134.8332,0,0,0,16,12,5,150.12,0,NA,NA,0,NA,682.6302,599.91,222.7285,715.6116,"V331792","L1519","P"
1702,"V331793_L1520_2_P.jpg",4287.6329,509.3254,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,110.6345,0,NA,NA,0,NA,NA,NA,NA,715.2342,"V331793","L1520","P"
1703,"V331794_L1521_1_P.jpg",3383.1677,463.9884,0,NA,0,1,306.2025,0,1,179.6441,0,7,7,17,12,4,138.8524,2,360.1999,NA,0,760.3789,425.5256,500.8792,148.6472,735.4454,"V331794","L1521","P"
1704,"V331796_L1523_1_P.jpg",2508.0072,305.8755,0,NA,0,1,213.5275,0,1,106.1508,0,7,7,17,9,4,112.0089,2,NA,NA,0,372.3381,401.1736,308.6925,135.1164,734.1744,"V331796","L1523","P"
1705,"V331797_L1524_1_P.jpg",NA,551.2359,0,NA,0,1,237.2003,0,1,133.4616,0,0,0,0,0,5,180.8867,2,NA,NA,0,630.5965,NA,NA,NA,730.5505,"V331797","L1524","P"
1706,"V331798_L1525_1_P.jpg",3948.002,477.7537,0,NA,0,1,232.9979,0,1,127.6244,0,8,8,17,13,5,190.0737,0,NA,NA,0,544.0147,522.2107,442.5743,142.436,720.1,"V331798","L1525","P"
1707,"V331800_L1527_1_P.jpg",3210.2019,424.0801,0,NA,0,1,193.0518,0,1,108.1665,0,8,7,14,11,5,138.2932,0,NA,NA,0,156.0288,399.4621,404.4774,133.66,726.7806,"V331800","L1527","P"
1708,"V331801_L1528_1_P.jpg",4649.2081,533.6364,0,NA,0,1,272.2646,0,1,141.8732,0,8,8,16,0,5,169.1863,0,NA,NA,0,174.9514,644.3105,639.162,NA,728.1758,"V331801","L1528","P"
1709,"V331802_L1529_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,372.6017,349.9028,0,663.6867,616.636,583.1912,NA,708.5309,"V331802","L1529","P"
1710,"V331803_L1530_1_P.jpg",NA,512.2851,0,NA,0,0,NA,0,1,96.7471,0,9,0,0,0,7,132.2422,0,NA,NA,0,268.9238,764.3769,604.8471,197.9899,728.0989,"V331803","L1530","P"
1711,"V331804_L1531_1_P.jpg",NA,409.5066,0,NA,0,0,NA,0,0,NA,0,0,0,18,0,5,122.1188,0,NA,NA,0,168.2409,436.8066,NA,NA,711.7338,"V331804","L1531","P"
1712,"V331807_L1534_1_P.jpg",2820.4755,355.6299,0,NA,0,1,202.0718,0,0,NA,0,9,8,16,14,5,90.4489,0,NA,NA,0,NA,417.2697,309.2329,NA,720.8994,"V331807","L1534","P"
1713,"V331808_L1535_1_P.jpg",NA,199.5424,0,NA,0,0,NA,0,0,NA,0,0,0,20,0,5,NA,0,NA,NA,0,240.1159,NA,NA,NA,722.0249,"V331808","L1535","P"
1714,"V331809_L1536_1_P.jpg",NA,184.2609,0,NA,0,0,NA,0,1,37.0464,0,0,0,0,14,5,52.1536,0,NA,NA,0,NA,129.4161,150.3892,NA,725.4181,"V331809","L1536","P"
1715,"V331810_L1537_1_P.jpg",3129.0058,460.5948,0,NA,0,0,NA,0,1,107.5407,0,9,0,17,10,4,180.025,2,268.881,NA,0,637.1946,493.4339,419.8393,117,727.7829,"V331810","L1537","P"
1716,"V331813_L1540_1_P.jpg",3576.0559,461.4755,0,NA,0,1,296.1621,0,1,114.6124,0,8,0,0,0,4,NA,0,NA,NA,0,172,491.2026,377.6136,159.6997,NA,"V331813","L1540","P"
1717,"V331813_L1540_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,728.4065,"V331813","L1540","P"
1718,"V331815_L1542_1_P.jpg",2977.0751,385.1832,0,NA,0,0,NA,0,0,NA,0,0,0,17,12,4,95.6033,0,NA,NA,0,170.3174,470.7186,314.6109,NA,728.7743,"V331815","L1542","P"
1719,"V331816_L1543_1_P.jpg",3636.0022,433.1368,0,NA,0,1,324.6167,0,1,120.0666,0,7,0,0,0,5,NA,0,NA,NA,0,NA,650.7718,438.4883,NA,726.4819,"V331816","L1543","P"
1720,"V331817_L1544_1_P.jpg",3120.1341,431.2227,0,NA,0,0,NA,0,0,NA,0,8,8,16,12,5,129.0349,0,NA,NA,0,187.8776,375.048,384.0117,81.6088,725.0324,"V331817","L1544","P"
1721,"V331818_L1545_1_P.jpg",NA,391.0198,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,144.0139,0,NA,NA,0,218,431.6758,382.6852,140.6556,730.0438,"V331818","L1545","P"
1722,"V331819_L1546_1_P.jpg",NA,421.609,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,161.9877,2,298.8244,NA,0,NA,NA,NA,NA,737.314,"V331819","L1546","P"
1723,"V331821_L1548_1_P.jpg",NA,363.2512,0,NA,0,0,NA,0,1,112.6099,0,8,7,18,0,0,141.8908,2,270.749,NA,0,480.7681,NA,NA,NA,720.225,"V331821","L1548","P"
1724,"V331822_L1549_1_P.jpg",NA,499.313,1,244.1823,0,1,319.5951,0,1,126.5701,0,9,9,16,13,5,144.7791,2,NA,NA,0,NA,NA,NA,NA,720.8994,"V331822","L1549","P"
1725,"V331823_L1550_1_P.jpg",3610.6553,437.8732,0,NA,0,0,NA,0,1,104.0769,0,0,0,16,0,5,126.4911,0,NA,NA,0,214.4015,411.5337,252.7924,128.0625,715.9888,"V331823","L1550","P"
1726,"V331824_L1551_1_P.jpg",4017.2189,497.8373,0,NA,0,0,NA,0,0,NA,0,7,7,17,12,4,96.7471,0,NA,NA,0,192.3746,541.1987,508.8025,113.2078,736.2717,"V331824","L1551","P"
1727,"V331826_L1553_1_P.jpg",1194.7209,153.1856,1,25.8888,0,1,68.0523,0,1,48.2954,0,7,7,19,12,4,48.2954,2,50.7721,46.8188,0,196.4165,119.9262,145.6022,29.2724,721.8753,"V331826","L1553","P"
1728,"V331827_L1554_1_P.jpg",NA,NA,0,NA,0,1,340.5877,0,1,NA,0,0,0,0,0,0,NA,2,291.4515,419.2374,0,872.7428,776.5874,NA,NA,716.0112,"V331827","L1554","P"
1729,"V331827_L1554_2_P.jpg",NA,NA,0,NA,1,0,NA,1,1,161.2452,0,9,8,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,715.0273,"V331827","L1554","P"
1730,"V331829_L1556_1_P.jpg",5345.34,684.2354,1,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V331829","L1556","P"
1731,"V331829_L1556_1_P.jpg",NA,NA,0,NA,0,1,283.0194,0,1,NA,0,0,0,0,0,0,NA,2,374.3635,NA,0,975.1246,633.4477,NA,NA,711.5757,"V331829","L1556","P"
1732,"V331830_L1557_1_P.jpg",3929.4274,471.1268,0,NA,0,1,370.6211,0,1,85.8836,0,8,7,17,13,6,94.8683,2,414.5757,391.8418,0,639.7953,507.5677,496.3074,102.6158,718.2103,"V331830","L1557","P"
1733,"V331831_L1558_1_P.jpg",NA,369.4529,0,NA,1,0,NA,1,1,NA,0,0,0,0,0,0,NA,0,NA,NA,0,315.2856,NA,320.3264,NA,709.3018,"V331831","L1558","P"
1734,"V331832_L1559_1_P.jpg",NA,481.3866,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,137.6735,0,NA,NA,0,NA,NA,NA,NA,723.0249,"V331832","L1559","P"
1735,"V331833_L1560_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,202.8053,NA,NA,NA,711.601,"V331833","L1560","P"
1736,"V331834_L1561_1_P.jpg",3237.9063,421.05,0,NA,0,0,NA,0,1,94.1541,0,8,6,16,12,6,121.8236,2,259.4783,NA,0,576.1562,411.0109,440.9592,122.5602,714.0819,"V331834","L1561","P"
1737,"V331835_L1562_1_C.jpg",3850.1283,485.5277,0,NA,0,0,NA,0,0,NA,0,7,7,17,13,5,155.5892,0,NA,NA,0,578.7296,563.5601,476.806,200.3597,716,"V331835","L1562","C"
1738,"V331836_L1563_2_P.jpg",3302.295,434.3036,0,NA,0,0,NA,0,1,113.2784,0,10,8,18,12,4,125.2837,0,NA,NA,0,NA,307.376,385.2687,NA,NA,"V331836","L1563","P"
1739,"V331836_L1563_2_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,709.1178,"V331836","L1563","P"
1740,"V331837_L1564_1_P.jpg",NA,322.6717,0,NA,0,1,228.1228,0,1,126.3171,0,0,0,18,0,0,NA,0,NA,NA,0,NA,NA,320.1312,NA,721.224,"V331837","L1564","P"
1741,"V331839_L1566_1_P.jpg",3381.0679,415.5958,1,91.586,0,1,57.7062,0,1,90.05,0,9,9,17,12,5,153,2,337.9231,240.2998,0,580.1181,555.2513,396.7379,NA,711.6326,"V331839","L1566","P"
1742,"V331841_L1568_1_P.jpg",2066.1897,272.9299,0,NA,0,0,NA,0,1,63.8122,0,0,0,17,12,6,52.6118,0,NA,NA,0,NA,336.3807,191.7603,69.0797,723.8702,"V331841","L1568","P"
1743,"V331843_L1570_2_P.jpg",NA,408.966,1,197.4082,0,1,358.522,0,1,148.553,0,8,7,0,12,5,171.4205,2,366.602,NA,0,616.6441,547.1855,393.3777,147.0918,724.5916,"V331843","L1570","P"
1744,"V331844_L1571_1_P.jpg",NA,441.2437,0,NA,0,1,297.2575,0,1,147.7329,0,9,9,18,13,4,204.0221,2,285.7726,325.3859,0,618.9386,441.3672,415.4865,NA,730.0425,"V331844","L1571","P"
1745,"V331846_L1573_1_P.jpg",3160.1864,399.6934,1,198.386,0,1,258.1046,0,1,147.7329,0,8,8,17,12,5,132.3065,2,339.8882,NA,0,573.1963,495.3908,406.5969,129.5222,720.3999,"V331846","L1573","P"
1746,"V331847_L1574_1_P.jpg",NA,525.0621,0,NA,1,0,NA,1,1,154.2887,0,9,0,16,0,0,183.0983,0,NA,NA,0,NA,NA,NA,NA,712.0688,"V331847","L1574","P"
1747,"V331848_L1575_1_P.jpg",NA,532.5024,0,NA,1,1,284.5417,0,1,165.0273,0,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,NA,NA,714.6363,"V331848","L1575","P"
1748,"V331849_L1576_1_P.jpg",NA,375.2652,0,NA,0,0,NA,0,1,73.0548,0,0,0,0,12,5,159,2,320.7055,NA,0,495.2545,NA,NA,NA,NA,"V331849","L1576","P"
1749,"V331849_L1576_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,507.142,400.2162,138.5208,722.751,"V331849","L1576","P"
1750,"V331850_L1577_1_P.jpg",3554.4519,455.8466,1,138.8524,0,1,245.8617,0,1,60.9262,0,9,8,17,10,5,144,0,NA,NA,0,140.0571,495.1767,425.1306,216.3331,721.8864,"V331850","L1577","P"
1751,"V331851_L1578_1_P.jpg",NA,493.1622,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V331851","L1578","P"
1752,"V331851_L1578_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,108.8118,0,10,9,0,0,7,72.111,0,NA,NA,0,148.8624,390.0564,NA,NA,718.0975,"V331851","L1578","P"
1753,"V331852_L1579_1_P.jpg",3867.9586,529.874,0,NA,0,0,NA,0,1,136.8211,0,7,8,17,0,0,112.641,0,NA,NA,0,204.0392,571.4543,390.9578,NA,727.978,"V331852","L1579","P"
1754,"V331853_L1580_1_P.jpg",NA,505.4727,0,NA,0,0,NA,0,1,134.3317,0,8,0,0,0,5,152.7645,2,393.0801,301.9884,0,867.2543,668.3001,596.8869,224.058,718.0975,"V331853","L1580","P"
1755,"V331854_L1581_1_C.jpg",NA,532.1104,0,NA,0,0,NA,0,1,132.2422,0,7,6,0,14,4,113.7717,0,NA,NA,0,NA,NA,NA,NA,730.3369,"V331854","L1581","C"
1756,"V331854_L1581_1_P.jpg",NA,603.2811,0,NA,1,0,NA,1,1,127.122,0,0,0,0,0,0,NA,2,323.2337,NA,0,713.448,447.3209,549.749,NA,755.7566,"V331854","L1581","P"
1757,"V331855_L1582_1_P.jpg",NA,525.406,0,NA,0,1,278.5678,0,1,123.5476,0,0,0,0,13,5,128.5613,0,NA,NA,0,360.0222,518.2277,NA,234.1965,753.9231,"V331855","L1582","P"
1758,"V331856_L1584_1_P.jpg",1650.0109,200.946,0,NA,0,0,NA,0,1,70.2282,0,0,0,17,13,5,84.0238,2,NA,58.0345,0,NA,NA,NA,NA,NA,"V331856","L1584","P"
1759,"V331856_L1584_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,187.0722,156,218.33,44.7214,721.0687,"V331856","L1584","P"
1760,"V331857_L1585_1_P.jpg",3677.0532,377.0652,0,NA,0,1,256.7801,0,1,132.4236,0,8,8,18,10,5,167.0928,2,306.7768,NA,0,670.88,548.2335,458.3448,160.4494,714.1989,"V331857","L1585","P"
1761,"V331858_L1586_1_P.jpg",NA,325.9534,1,147.3635,0,1,237.3268,0,1,147.9595,0,9,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V331858","L1586","P"
1762,"V331858_L1586_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,8,17,9,5,144.3468,2,220.327,NA,0,NA,408.5976,323.9383,NA,720.0694,"V331858","L1586","P"
1763,"V331859_L1587_1_P.jpg",NA,NA,1,181.2209,0,1,294.3824,0,1,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V331859","L1587","P"
1764,"V331859_L1587_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,375.4797,NA,0,765.394,505.0792,512.4032,165.1091,715.6116,"V331859","L1587","P"
1765,"V331860_L1588_1_P.jpg",NA,689.7734,0,NA,0,1,325.9693,0,1,175.7271,0,10,9,0,0,5,185.0838,0,NA,NA,0,364.1977,NA,NA,231.4822,767.0828,"V331860","L1588","P"
1766,"V331861_L1589_1_P.jpg",NA,413.17,0,NA,0,0,NA,0,1,147.5669,0,0,0,0,0,7,120.5985,2,335.8095,NA,0,766.6029,689.8696,588.8022,189.5257,716.5473,"V331861","L1589","P"
1767,"V331862_L1590_1_P.jpg",NA,NA,1,112.6055,0,1,188.0638,0,1,117.1836,0,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,NA,62.7694,764.055,"V331862","L1590","P"
1768,"V331863_L1591_1_P.jpg",2984.6517,376.0711,0,NA,0,0,NA,0,1,121.2233,0,8,0,17,10,4,102.7035,0,NA,NA,0,223.6605,400.18,351.8636,97.5295,756.3835,"V331863","L1591","P"
1769,"V331864_L1592_1_C.jpg",4195.5596,477.4109,0,NA,0,0,NA,0,1,203.2142,0,8,6,18,11,5,164.7786,0,NA,NA,0,410.7749,596.1208,524.9762,104.9952,760.9888,"V331864","L1592","C"
1770,"V331864_L1592_1_P.jpg",NA,509.0597,0,NA,0,0,NA,0,0,NA,0,10,9,18,0,5,114.0395,0,NA,NA,0,NA,NA,NA,NA,761.6101,"V331864","L1592","P"
1771,"V331865_L1593_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,299.2524,NA,0,780.1641,828.3091,NA,260,779.333,"V331865","L1593","P"
1772,"V331866_L1594_1_P.jpg",NA,595.913,0,NA,0,0,NA,0,1,132.0606,0,10,8,17,12,5,192.0417,0,NA,NA,0,246.4467,788.8219,819.3851,NA,760.2315,"V331866","L1594","P"
1773,"V331867_L1595_1_P.jpg",3197.0852,419.3674,0,NA,0,1,277.9496,0,1,88.2326,0,8,9,17,14,5,86.3771,2,250.711,NA,0,519.4247,408.9364,330.4905,132.1363,754.7251,"V331867","L1595","P"
1774,"V331868_L1596_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,224.1428,754.0398,"V331868","L1596","P"
1775,"V331868_L1596_2_P.jpg",NA,NA,0,NA,0,1,209.1626,0,0,NA,1,0,0,0,0,0,NA,2,333.702,463.1479,0,NA,NA,NA,NA,752.9283,"V331868","L1596","P"
1776,"V331869_L1598_1_P.jpg",4496.3487,541.7421,0,NA,0,0,NA,0,1,107.7033,0,9,8,18,13,5,217.8073,0,NA,NA,0,196.652,482.394,464.9817,196.1224,757.0575,"V331869","L1598","P"
1777,"V331870_L1599_1_P.jpg",3036.4624,403.7446,0,NA,0,0,NA,0,1,112.3299,0,7,8,17,13,4,90.05,0,NA,NA,0,173.9224,445.9114,405,99.7246,761.0782,"V331870","L1599","P"
1778,"V331871_L1600_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,255.1549,0,528.0758,NA,NA,100.4988,755.145,"V331871","L1600","C"
1779,"V331871_L1600_1_P.jpg",NA,384.5844,0,NA,0,0,NA,0,1,98.0816,0,9,7,17,12,6,132.8157,2,279.4351,NA,0,539.7481,488.2131,NA,NA,756.9016,"V331871","L1600","P"
1780,"V331872_L1601_1_P.jpg",3118.2139,403.991,0,NA,0,0,NA,0,1,106.4049,0,9,6,16,12,6,90.05,2,NA,261.2757,0,631.0277,466.5072,334.7118,97.719,757.552,"V331872","L1601","P"
1781,"V331872_L1601_2_P.jpg",3072.8114,424.8479,0,NA,0,0,NA,0,1,114.0395,0,9,7,18,11,5,144.281,2,256.7586,NA,0,484.126,466.8929,356.1039,153.5871,759.1423,"V331872","L1601","P"
