"","Microfossil_Type","Morphotype","Genus_Type","Species","Variety","Sample_ID","Transect","Count","Recorder"
"31","Diatom","Centric","Aulocoseira","tenella",NA,"V332333_L2072",1,1,"Megan O'toole"
"32","Diatom","Centric","Chaetoceros","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"33","Diatom","Centric","Cyclostephanos","tholiformis",NA,"V332333_L2072",1,1,"Megan O'toole"
"34","Diatom","Centric","Cyclotella","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"35","Diatom","Centric","Lindavia","rossii",NA,"V332333_L2072",1,0,"Megan O'toole"
"36","Diatom","Centric","Pliocaenicus","spp.",NA,"V332333_L2072",1,1,"Megan O'toole"
"37","Diatom","Centric","Stephanodiscus","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"38","Diatom","Epithemioid","Epithemia","musculus",NA,"V332333_L2072",1,0,"Megan O'toole"
"39","Diatom","Epithemioid","Epithemia","Rhopalodia",NA,"V332333_L2072",1,0,"Megan O'toole"
"40","Diatom","Eunotioid",NA,"spp.",NA,"V332333_L2072",1,1,"Megan O'toole"
"41","Diatom","Eunotioid","Eunotia","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"42","Diatom","Eunotioid","Semiorbis","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"43","Diatom","Monoraphid",NA,"spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"44","Diatom","Monoraphid","Cocconeis","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"45","Diatom","Monoraphid","Planothidium","apiculatum",NA,"V332333_L2072",1,0,"Megan O'toole"
"46","Diatom","Monoraphid","Planothidium","delicatulum",NA,"V332333_L2072",1,0,"Megan O'toole"
"47","Diatom","Nitzschioid",NA,"spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"48","Diatom","Nitzschioid","Nitzschia","fonticola",NA,"V332333_L2072",1,0,"Megan O'toole"
"49","Diatom","Surirelloid","Surirella","amphioxys",NA,"V332333_L2072",1,0,"Megan O'toole"
"50","Diatom","Symmetric_Biraphid",NA,"spp.",NA,"V332333_L2072",1,3,"Megan O'toole"
"51","Diatom","Symmetric_Biraphid","Anomoeneis","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"52","Diatom","Symmetric_Biraphid","Anomoeneis","sculpta",NA,"V332333_L2072",1,0,"Megan O'toole"
"53","Diatom","Symmetric_Biraphid","Craticula","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"54","Diatom","Symmetric_Biraphid","Geissleria","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"55","Diatom","Symmetric_Biraphid","Navicula","spp.",NA,"V332333_L2072",1,0,"Megan O'toole"
"56","Diatom","Unknown_Fragment",NA,NA,NA,"V332333_L2072",1,59,"Megan O'toole"
"57","Phytolith","Acicular",NA,NA,NA,"V332333_L2072",1,5,"Megan O'toole"
"58","Phytolith","Acute",NA,NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"59","Phytolith","Acute","Arcuate",NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"60","Phytolith","Bilobate",NA,NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"61","Phytolith","Blocky",NA,NA,NA,"V332333_L2072",1,8,"Megan O'toole"
"62","Phytolith","Brachiate",NA,NA,NA,"V332333_L2072",1,2,"Megan O'toole"
"63","Phytolith","Bulliform_flabellate",NA,NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"64","Phytolith","Elongate",NA,NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"65","Phytolith","Elongate","Arcuate_type_1",NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"66","Phytolith","Elongate","Dentate",NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"67","Phytolith","Elongate","Entire_type_1",NA,NA,"V332333_L2072",1,1,"Megan O'toole"
"68","Phytolith","Elongate","Entire_type_2",NA,NA,"V332333_L2072",1,11,"Megan O'toole"
"69","Phytolith","Elongate","Sinuate",NA,NA,"V332333_L2072",1,1,"Megan O'toole"
"70","Phytolith","Oblong","Psilate",NA,NA,"V332333_L2072",1,4,"Megan O'toole"
"71","Phytolith","Polygonal","Tabular_type_1",NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"72","Phytolith","Polygonal","Tabular_type_2",NA,NA,"V332333_L2072",1,30,"Megan O'toole"
"73","Phytolith","Polyhedral","Sclereid",NA,NA,"V332333_L2072",1,3,"Megan O'toole"
"74","Phytolith","Rondel",NA,NA,NA,"V332333_L2072",1,3,"Megan O'toole"
"75","Phytolith","Spheroid","Granulate",NA,NA,"V332333_L2072",1,2,"Megan O'toole"
"76","Phytolith","Spheroid","Psilate",NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"77","Phytolith","Spheroid","Ornate",NA,NA,"V332333_L2072",1,14,"Megan O'toole"
"78","Phytolith","Spheroid","Plicate",NA,NA,"V332333_L2072",1,2,"Megan O'toole"
"79","Phytolith","Tracheary_annulate",NA,NA,NA,"V332333_L2072",1,5,"Megan O'toole"
"80","Phytolith","Cross",NA,NA,NA,"V332333_L2072",1,0,"Megan O'toole"
"81","Phytolith","Unknown_Fragment",NA,NA,NA,"V332333_L2072",1,51,"Megan O'toole"
"82","Sponge_Spicule",NA,NA,NA,NA,"V332333_L2072",1,11,"Megan O'toole"
"83","Charred",NA,NA,NA,NA,"V332333_L2072",1,10,"Megan O'toole"
"84","Unknown",NA,NA,NA,NA,"V332333_L2072",1,13,"Megan O'toole"
"85","Diatom","Araphid",NA,"spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"86","Diatom","Araphid","Fragilaria","vaucheriae",NA,"V332333_L2072",2,0,"Megan O'toole"
"87","Diatom","Araphid","Fragilariales","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"88","Diatom","Araphid","Odontidium","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"89","Diatom","Araphid","Punctastriata","mimetica",NA,"V332333_L2072",2,0,"Megan O'toole"
"90","Diatom","Araphid","Pseudostaurosira","brevistriata",NA,"V332333_L2072",2,0,"Megan O'toole"
"91","Diatom","Araphid","Pseudostaurosira","trainorii",NA,"V332333_L2072",2,0,"Megan O'toole"
"92","Diatom","Araphid","Staurosira","construens","construens","V332333_L2072",2,0,"Megan O'toole"
"93","Diatom","Araphid","Staurosira","construens","binodis","V332333_L2072",2,0,"Megan O'toole"
"94","Diatom","Araphid","Staurosira","construens","venter","V332333_L2072",2,0,"Megan O'toole"
"95","Diatom","Araphid","Staurosirella","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"96","Diatom","Araphid","Staurosirella","leptostauron","leptostauron","V332333_L2072",2,0,"Megan O'toole"
"97","Diatom","Araphid","Staurosirella","leptostauron","dubia","V332333_L2072",2,0,"Megan O'toole"
"98","Diatom","Araphid","Staurosirella","pinnata",NA,"V332333_L2072",2,0,"Megan O'toole"
"99","Diatom","Araphid","Tetracyclus","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"100","Diatom","Asymmetric_Biraphid",NA,"spp.",NA,"V332333_L2072",2,4,"Megan O'toole"
"101","Diatom","Asymmetric_Biraphid","Amphora","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"102","Diatom","Asymmetric_Biraphid","Amphora","coffeaeformis",NA,"V332333_L2072",2,0,"Megan O'toole"
"103","Diatom","Asymmetric_Biraphid","Cymbella","spp.",NA,"V332333_L2072",2,3,"Megan O'toole"
"104","Diatom","Asymmetric_Biraphid","Cymbella","cymbiformis",NA,"V332333_L2072",2,0,"Megan O'toole"
"105","Diatom","Asymmetric_Biraphid","Encyonema","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"106","Diatom","Asymmetric_Biraphid","Gomphoneis","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"107","Diatom","Centric",NA,"spp.",NA,"V332333_L2072",2,4,"Megan O'toole"
"108","Diatom","Centric","Actinocyclus","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"109","Diatom","Centric","Alveophora","americana",NA,"V332333_L2072",2,0,"Megan O'toole"
"110","Diatom","Centric","Aulocoseira","spp.",NA,"V332333_L2072",2,1,"Megan O'toole"
"111","Diatom","Centric","Aulocoseira","ambigua",NA,"V332333_L2072",2,0,"Megan O'toole"
"112","Diatom","Centric","Aulocoseira","canadensis",NA,"V332333_L2072",2,0,"Megan O'toole"
"113","Diatom","Centric","Aulocoseira","pusilla",NA,"V332333_L2072",2,0,"Megan O'toole"
"114","Diatom","Centric","Aulocoseira","subarctica",NA,"V332333_L2072",2,0,"Megan O'toole"
"115","Diatom","Centric","Aulocoseira","tenella",NA,"V332333_L2072",2,4,"Megan O'toole"
"116","Diatom","Centric","Chaetoceros","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"117","Diatom","Centric","Cyclostephanos","tholiformis",NA,"V332333_L2072",2,1,"Megan O'toole"
"118","Diatom","Centric","Cyclotella","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"119","Diatom","Centric","Lindavia","rossii",NA,"V332333_L2072",2,0,"Megan O'toole"
"120","Diatom","Centric","Pliocaenicus","spp.",NA,"V332333_L2072",2,2,"Megan O'toole"
"121","Diatom","Centric","Stephanodiscus","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"122","Diatom","Epithemioid","Epithemia","musculus",NA,"V332333_L2072",2,0,"Megan O'toole"
"123","Diatom","Epithemioid","Epithemia","Rhopalodia",NA,"V332333_L2072",2,0,"Megan O'toole"
"124","Diatom","Eunotioid",NA,"spp.",NA,"V332333_L2072",2,1,"Megan O'toole"
"125","Diatom","Eunotioid","Eunotia","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"126","Diatom","Eunotioid","Semiorbis","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"127","Diatom","Monoraphid",NA,"spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"128","Diatom","Monoraphid","Cocconeis","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"129","Diatom","Monoraphid","Planothidium","apiculatum",NA,"V332333_L2072",2,0,"Megan O'toole"
"130","Diatom","Monoraphid","Planothidium","delicatulum",NA,"V332333_L2072",2,0,"Megan O'toole"
"131","Diatom","Nitzschioid",NA,"spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"132","Diatom","Nitzschioid","Nitzschia","fonticola",NA,"V332333_L2072",2,0,"Megan O'toole"
"133","Diatom","Surirelloid","Surirella","amphioxys",NA,"V332333_L2072",2,0,"Megan O'toole"
"134","Diatom","Symmetric_Biraphid",NA,"spp.",NA,"V332333_L2072",2,4,"Megan O'toole"
"135","Diatom","Symmetric_Biraphid","Anomoeneis","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"136","Diatom","Symmetric_Biraphid","Anomoeneis","sculpta",NA,"V332333_L2072",2,0,"Megan O'toole"
"137","Diatom","Symmetric_Biraphid","Craticula","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"138","Diatom","Symmetric_Biraphid","Geissleria","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"139","Diatom","Symmetric_Biraphid","Navicula","spp.",NA,"V332333_L2072",2,0,"Megan O'toole"
"140","Diatom","Unknown_Fragment",NA,NA,NA,"V332333_L2072",2,59,"Megan O'toole"
"141","Phytolith","Acicular",NA,NA,NA,"V332333_L2072",2,13,"Megan O'toole"
"142","Phytolith","Acute",NA,NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"143","Phytolith","Acute","Arcuate",NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"144","Phytolith","Bilobate",NA,NA,NA,"V332333_L2072",2,1,"Megan O'toole"
"145","Phytolith","Blocky",NA,NA,NA,"V332333_L2072",2,8,"Megan O'toole"
"146","Phytolith","Brachiate",NA,NA,NA,"V332333_L2072",2,2,"Megan O'toole"
"147","Phytolith","Bulliform_flabellate",NA,NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"148","Phytolith","Elongate",NA,NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"149","Phytolith","Elongate","Arcuate_type_1",NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"150","Phytolith","Elongate","Dentate",NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"151","Phytolith","Elongate","Entire_type_1",NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"152","Phytolith","Elongate","Entire_type_2",NA,NA,"V332333_L2072",2,8,"Megan O'toole"
"153","Phytolith","Elongate","Sinuate",NA,NA,"V332333_L2072",2,3,"Megan O'toole"
"154","Phytolith","Oblong","Psilate",NA,NA,"V332333_L2072",2,6,"Megan O'toole"
"155","Phytolith","Polygonal","Tabular_type_1",NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"156","Phytolith","Polygonal","Tabular_type_2",NA,NA,"V332333_L2072",2,31,"Megan O'toole"
"157","Phytolith","Polyhedral","Sclereid",NA,NA,"V332333_L2072",2,8,"Megan O'toole"
"158","Phytolith","Rondel",NA,NA,NA,"V332333_L2072",2,2,"Megan O'toole"
"159","Phytolith","Spheroid","Granulate",NA,NA,"V332333_L2072",2,1,"Megan O'toole"
"160","Phytolith","Spheroid","Psilate",NA,NA,"V332333_L2072",2,1,"Megan O'toole"
"161","Phytolith","Spheroid","Ornate",NA,NA,"V332333_L2072",2,10,"Megan O'toole"
"162","Phytolith","Spheroid","Plicate",NA,NA,"V332333_L2072",2,1,"Megan O'toole"
"163","Phytolith","Tracheary_annulate",NA,NA,NA,"V332333_L2072",2,2,"Megan O'toole"
"164","Phytolith","Cross",NA,NA,NA,"V332333_L2072",2,0,"Megan O'toole"
"165","Phytolith","Unknown_Fragment",NA,NA,NA,"V332333_L2072",2,39,"Megan O'toole"
"166","Sponge_Spicule",NA,NA,NA,NA,"V332333_L2072",2,11,"Megan O'toole"
"167","Charred",NA,NA,NA,NA,"V332333_L2072",2,8,"Megan O'toole"
"168","Unknown",NA,NA,NA,NA,"V332333_L2072",2,8,"Megan O'toole"
"169","Diatom","Araphid",NA,"spp.",NA,"V332333_L2072",3,1,"Megan O'toole"
"170","Diatom","Araphid","Fragilaria","vaucheriae",NA,"V332333_L2072",3,0,"Megan O'toole"
"171","Diatom","Araphid","Fragilariales","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"172","Diatom","Araphid","Odontidium","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"173","Diatom","Araphid","Punctastriata","mimetica",NA,"V332333_L2072",3,0,"Megan O'toole"
"174","Diatom","Araphid","Pseudostaurosira","brevistriata",NA,"V332333_L2072",3,0,"Megan O'toole"
"175","Diatom","Araphid","Pseudostaurosira","trainorii",NA,"V332333_L2072",3,0,"Megan O'toole"
"176","Diatom","Araphid","Staurosira","construens","construens","V332333_L2072",3,0,"Megan O'toole"
"177","Diatom","Araphid","Staurosira","construens","binodis","V332333_L2072",3,0,"Megan O'toole"
"178","Diatom","Araphid","Staurosira","construens","venter","V332333_L2072",3,0,"Megan O'toole"
"179","Diatom","Araphid","Staurosirella","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"180","Diatom","Araphid","Staurosirella","leptostauron","leptostauron","V332333_L2072",3,0,"Megan O'toole"
"181","Diatom","Araphid","Staurosirella","leptostauron","dubia","V332333_L2072",3,0,"Megan O'toole"
"182","Diatom","Araphid","Staurosirella","pinnata",NA,"V332333_L2072",3,0,"Megan O'toole"
"183","Diatom","Araphid","Tetracyclus","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"184","Diatom","Asymmetric_Biraphid",NA,"spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"185","Diatom","Asymmetric_Biraphid","Amphora","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"186","Diatom","Asymmetric_Biraphid","Amphora","coffeaeformis",NA,"V332333_L2072",3,0,"Megan O'toole"
"187","Diatom","Asymmetric_Biraphid","Cymbella","spp.",NA,"V332333_L2072",3,3,"Megan O'toole"
"188","Diatom","Asymmetric_Biraphid","Cymbella","cymbiformis",NA,"V332333_L2072",3,0,"Megan O'toole"
"189","Diatom","Asymmetric_Biraphid","Encyonema","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"190","Diatom","Asymmetric_Biraphid","Gomphoneis","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"191","Diatom","Centric",NA,"spp.",NA,"V332333_L2072",3,12,"Megan O'toole"
"192","Diatom","Centric","Actinocyclus","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"193","Diatom","Centric","Alveophora","americana",NA,"V332333_L2072",3,0,"Megan O'toole"
"194","Diatom","Centric","Aulocoseira","spp.",NA,"V332333_L2072",3,5,"Megan O'toole"
"195","Diatom","Centric","Aulocoseira","ambigua",NA,"V332333_L2072",3,0,"Megan O'toole"
"196","Diatom","Centric","Aulocoseira","canadensis",NA,"V332333_L2072",3,0,"Megan O'toole"
"197","Diatom","Centric","Aulocoseira","pusilla",NA,"V332333_L2072",3,0,"Megan O'toole"
"198","Diatom","Centric","Aulocoseira","subarctica",NA,"V332333_L2072",3,0,"Megan O'toole"
"199","Diatom","Centric","Aulocoseira","tenella",NA,"V332333_L2072",3,5,"Megan O'toole"
"200","Diatom","Centric","Chaetoceros","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"201","Diatom","Centric","Cyclostephanos","tholiformis",NA,"V332333_L2072",3,0,"Megan O'toole"
"202","Diatom","Centric","Cyclotella","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"203","Diatom","Centric","Lindavia","rossii",NA,"V332333_L2072",3,0,"Megan O'toole"
"204","Diatom","Centric","Pliocaenicus","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"205","Diatom","Centric","Stephanodiscus","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"206","Diatom","Epithemioid","Epithemia","musculus",NA,"V332333_L2072",3,0,"Megan O'toole"
"207","Diatom","Epithemioid","Epithemia","Rhopalodia",NA,"V332333_L2072",3,0,"Megan O'toole"
"208","Diatom","Eunotioid",NA,"spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"209","Diatom","Eunotioid","Eunotia","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"210","Diatom","Eunotioid","Semiorbis","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"211","Diatom","Monoraphid",NA,"spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"212","Diatom","Monoraphid","Cocconeis","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"213","Diatom","Monoraphid","Planothidium","apiculatum",NA,"V332333_L2072",3,0,"Megan O'toole"
"214","Diatom","Monoraphid","Planothidium","delicatulum",NA,"V332333_L2072",3,0,"Megan O'toole"
"215","Diatom","Nitzschioid",NA,"spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"216","Diatom","Nitzschioid","Nitzschia","fonticola",NA,"V332333_L2072",3,0,"Megan O'toole"
"217","Diatom","Surirelloid","Surirella","amphioxys",NA,"V332333_L2072",3,0,"Megan O'toole"
"218","Diatom","Symmetric_Biraphid",NA,"spp.",NA,"V332333_L2072",3,3,"Megan O'toole"
"219","Diatom","Symmetric_Biraphid","Anomoeneis","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"220","Diatom","Symmetric_Biraphid","Anomoeneis","sculpta",NA,"V332333_L2072",3,0,"Megan O'toole"
"221","Diatom","Symmetric_Biraphid","Craticula","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"222","Diatom","Symmetric_Biraphid","Geissleria","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"223","Diatom","Symmetric_Biraphid","Navicula","spp.",NA,"V332333_L2072",3,0,"Megan O'toole"
"224","Diatom","Unknown_Fragment",NA,NA,NA,"V332333_L2072",3,80,"Megan O'toole"
"225","Phytolith","Acicular",NA,NA,NA,"V332333_L2072",3,9,"Megan O'toole"
"226","Phytolith","Acute",NA,NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"227","Phytolith","Acute","Arcuate",NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"228","Phytolith","Bilobate",NA,NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"229","Phytolith","Blocky",NA,NA,NA,"V332333_L2072",3,11,"Megan O'toole"
"230","Phytolith","Brachiate",NA,NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"231","Phytolith","Bulliform_flabellate",NA,NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"232","Phytolith","Elongate",NA,NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"233","Phytolith","Elongate","Arcuate_type_1",NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"234","Phytolith","Elongate","Dentate",NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"235","Phytolith","Elongate","Entire_type_1",NA,NA,"V332333_L2072",3,1,"Megan O'toole"
"236","Phytolith","Elongate","Entire_type_2",NA,NA,"V332333_L2072",3,18,"Megan O'toole"
"237","Phytolith","Elongate","Sinuate",NA,NA,"V332333_L2072",3,3,"Megan O'toole"
"238","Phytolith","Oblong","Psilate",NA,NA,"V332333_L2072",3,10,"Megan O'toole"
"239","Phytolith","Polygonal","Tabular_type_1",NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"240","Phytolith","Polygonal","Tabular_type_2",NA,NA,"V332333_L2072",3,35,"Megan O'toole"
"241","Phytolith","Polyhedral","Sclereid",NA,NA,"V332333_L2072",3,9,"Megan O'toole"
"242","Phytolith","Rondel",NA,NA,NA,"V332333_L2072",3,2,"Megan O'toole"
"243","Phytolith","Spheroid","Granulate",NA,NA,"V332333_L2072",3,2,"Megan O'toole"
"244","Phytolith","Spheroid","Psilate",NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"245","Phytolith","Spheroid","Ornate",NA,NA,"V332333_L2072",3,12,"Megan O'toole"
"246","Phytolith","Spheroid","Plicate",NA,NA,"V332333_L2072",3,4,"Megan O'toole"
"247","Phytolith","Tracheary_annulate",NA,NA,NA,"V332333_L2072",3,4,"Megan O'toole"
"248","Phytolith","Cross",NA,NA,NA,"V332333_L2072",3,0,"Megan O'toole"
"249","Phytolith","Unknown_Fragment",NA,NA,NA,"V332333_L2072",3,41,"Megan O'toole"
"250","Sponge_Spicule",NA,NA,NA,NA,"V332333_L2072",3,9,"Megan O'toole"
"251","Charred",NA,NA,NA,NA,"V332333_L2072",3,20,"Megan O'toole"
"252","Unknown",NA,NA,NA,NA,"V332333_L2072",3,5,"Megan O'toole"
"253","Diatom","Araphid",NA,"spp.",NA,"V332333_L2072",4,0,"Megan O'toole"
"254","Diatom","Araphid","Fragilaria","vaucheriae",NA,"V332333_L2072",4,0,"Megan O'toole"
"255","Diatom","Araphid","Fragilariales","spp.",NA,"V332333_L2072",4,0,"Megan O'toole"
"256","Diatom","Araphid","Odontidium","spp.",NA,"V332333_L2072",4,0,"Megan O'toole"
"257","Diatom","Araphid","Punctastriata","mimetica",NA,"V332333_L2072",4,0,"Megan O'toole"
"258","Diatom","Araphid","Pseudostaurosira","brevistriata",NA,"V332333_L2072",4,0,"Megan O'toole"
"259","Diatom","Araphid","Pseudostaurosira","trainorii",NA,"V332333_L2072",4,0,"Megan O'toole"
"260","Diatom","Araphid","Staurosira","construens","construens","V332333_L2072",4,0,"Megan O'toole"
"261","Diatom","Araphid","Staurosira","construens","binodis","V332333_L2072",4,0,"Megan O'toole"
"262","Diatom","Araphid","Staurosira","construens","venter","V332333_L2072",4,0,"Megan O'toole"
"263","Diatom","Araphid","Staurosirella","spp.",NA,"V332333_L2072",4,0,"Megan O'toole"
"264","Diatom","Araphid","Staurosirella","leptostauron","leptostauron","V332333_L2072",4,0,"Megan O'toole"
"265","Diatom","Araphid","Staurosirella","leptostauron","dubia","V332333_L2072",4,0,"Megan O'toole"
"266","Diatom","Araphid","Staurosirella","pinnata",NA,"V332333_L2072",4,0,"Megan O'toole"
"267","Diatom","Araphid","Tetracyclus","spp.",NA,"V332333_L2072",4,0,"Megan O'toole"
"268","Diatom","Asymmetric_Biraphid",NA,"spp.",NA,"V332333_L2072",4,0,"Megan O'toole"
"269","Diatom","Asymmetric_Biraphid","Amphora","spp.",NA,"V332333_L2072",4,0,"Megan O'toole"
"270","Diatom","Asymmetric_Biraphid","Amphora","coffeaeformis",NA,"V332333_L2072",4,0,"Megan O'toole"
"271","Diatom","Asymmetric_Biraphid","Cymbella","spp.",NA,"V332333_L2072",4,2,"Megan O'toole"
"272","Diatom","Asymmetric_Biraphid","Cymbella","cymbiformis",NA,"V332333_L2072",4,0,"Megan O'toole"
