"Sample_ID","V_number","bin","sample_type","CSTRAT","YEAR","Unknown_Fragment","Centric","Pennates","Asymmetric_Biraphid","Symmetric_Biraphid","Araphid","Eunotioid","Surirelloid","Epithemioid","Monoraphid","Nitzschioid"
"V356093_LXXXX","V356093","LXXXX","Killifish",NA,NA,488,88,0,18,0,22,20,32,0,2,0
"V356105_LXXXX","V356105","LXXXX","Killifish",NA,NA,409,99,0,3,12,6,5,4,0,0,0
"V356116_LXXXX","V356116","LXXXX","Killifish",NA,NA,248,60,0,4,10,9,1,0,0,0,0
"V356122_LXXXX","V356122","LXXXX","Killifish",NA,NA,298,91,0,3,10,7,1,0,0,0,0
"V356164_LXXXX","V356164","LXXXX","Killifish",NA,NA,560,222,0,42,4,16,28,2,2,0,0
"V356174_LXXXX","V356174","LXXXX","Killifish",NA,NA,468,176,0,38,26,0,10,0,0,0,0
"V356200_LXXXX","V356200","LXXXX","Killifish",NA,NA,110,23,0,2,2,2,6,0,0,0,0
"V356208_LXXXX","V356208","LXXXX","Killifish",NA,NA,484,192,0,30,6,12,20,0,2,0,0
"V356220_LXXXX","V356220","LXXXX","Killifish",NA,NA,628,308,0,8,34,16,6,8,4,2,2
"V356241_LXXXX","V356241","LXXXX","Killifish",NA,NA,462,188,0,6,8,0,18,0,0,0,0
"V356296_LXXXX","V356296","LXXXX","Killifish",NA,NA,414,482,0,40,2,34,0,8,6,0,0
"V356310_LXXXX","V356310","LXXXX","Killifish",NA,NA,457,29,0,6,20,15,1,4,0,0,0
"V356317_LXXXX","V356317","LXXXX","Killifish",NA,NA,940,942,0,80,28,34,66,28,28,2,0
"V333994_L3863","V333994","L3863","Stickleback",NA,NA,263,100,0,19,43,3,10,1,3,0,1
"V333906_L3752","V333906","L3752","Stickleback",NA,NA,191,39,0,8,8,12,8,0,1,0,0
"V333800_L3646","V333800","L3646","Stickleback",NA,NA,176,46,0,5,1,8,7,0,0,0,0
"V333581_L3425","V333581","L3425","Stickleback",NA,NA,307,92,0,17,17,4,4,10,2,0,0
"V333449_L3291","V333449","L3291","Stickleback",NA,NA,202,69,0,11,17,6,4,1,1,0,0
"V333237_L3096","V333237","L3096","Stickleback",NA,NA,493,140,0,23,17,9,19,0,1,0,0
"V332540_L2284","V332540","L2284","Stickleback",NA,NA,165,62,0,1,1,1,1,0,1,0,0
"V332357_L2097","V332357","L2097","Stickleback",NA,NA,167,64,0,3,0,3,0,0,0,0,0
"V332333_L2072","V332333","L2072","Stickleback",NA,NA,262,65,0,22,14,1,3,1,1,0,0
"V331739_L1466","V331739","L1466","Stickleback",NA,NA,499,337,263,40,24,38,15,0,7,14,1
"V330643_L0297","V330643","L0297","Stickleback",NA,NA,406,42,0,12,0,4,0,0,0,0,0
"V330632_L0286","V330632","L0286","Stickleback",NA,NA,547,139,0,19,15,2,0,1,5,0,0
"V330519_L0161","V330519","L0161","Stickleback",NA,NA,363,294,0,1,3,9,1,1,0,9,0
"V330470_L110","V330470","L0110","Stickleback",NA,NA,344,260,601,31,65,57,10,10,18,15,0
"V330455_L0095","V330455","L0095","Stickleback",NA,NA,149,102,0,2,13,5,2,2,1,5,2
"V330400_L0040","V330400","L0040","Stickleback",NA,NA,162,229,0,30,6,15,0,0,0,7,1
