fish_id,continuous_diffs,count_diffs,binary_diffs,total_diffs,max_relative_diff
V330855,1,1,0,2,0.18008007095242973
V330860,1,1,0,2,0.16500579522269299
V330866,1,1,0,2,0.0931088119506451
V330870,1,1,0,2,0.11965251613192979
V330876,1,1,0,2,0.10689685682628709
V330885,1,1,0,2,0.43768980409046154
V330888,1,1,0,2,0.07616316881853605
V330896,1,1,0,2,0.3619030491763803
V330904,1,1,0,2,0.3004260885926483
V330908,1,1,0,2,0.12377512178116139
V330910,1,1,0,2,0.1267643850106158
V330911,1,1,0,2,0.32683222825946373
V330917,1,1,0,2,0.15082907989132419
V330921,1,1,0,2,0.5096457970596417
V330941,1,1,0,2,0.05878586846757191
V330944,1,1,0,2,0.06581963042891788
V330957,1,1,0,2,0.09290672101659829
V330961,1,1,0,2,0.1242223603145348
V330964,1,1,0,2,0.08091623354854302
V330968,1,1,0,2,1.4463820596821761
V330971,1,1,0,2,0.26527295386650873
V330986,1,1,0,2,0.428980086052535
V330991,1,1,0,2,0.32660456424266543
V330995,1,1,0,2,0.23773999689193515
V330997,1,1,0,2,0.3074899898155789
V331017,1,1,0,2,0.14055712318001026
V331022,1,1,0,2,0.18888382204292048
V331037,1,1,0,2,0.12545788587740406
V331045,1,1,0,2,0.179835145559699
V331047,1,1,0,2,0.10252179259396048
V331058,1,1,0,2,3.449335975324231
V331064,1,1,0,2,0.05953166013768812
V331095,1,1,0,2,0.1080030878904884
V331107,1,1,0,2,0.06766103580249878
V331113,1,1,0,2,0.2626611005688598
V331149,1,1,0,2,0.2106359971595355
V331152,1,1,0,2,0.09526127163706719
V331155,1,1,0,2,0.2089135467109395
V331164,1,1,0,2,0.1767363599281202
V331209,1,1,0,2,0.11871422519707521
V331216,1,1,0,2,0.44658115437478907
V331220,1,1,0,2,0.5908104183670517
V331223,1,1,0,2,0.2687937149471955
V331250,1,1,0,2,0.10340771448216592
V331309,1,1,0,2,0.2835497261331916
V331348,1,1,0,2,0.434098225926748
V331385,1,1,0,2,0.3069918735659525
V331391,1,1,0,2,0.09897089834466931
V331459,1,1,0,2,0.2034144242933761
V331489,1,1,0,2,0.05200311724192797
V331507,1,1,0,2,0.3592631968769295
V331514,1,1,0,2,0.05238242361496675
V331548,1,1,0,2,0.3655463284062138
V331644,1,1,0,2,0.14361205562810997
V331682,1,1,0,2,0.37971514546636204
V331693,1,1,0,2,0.5083990237679109
V331712,1,1,0,2,0.17838820718055248
V331726,1,1,0,2,0.3008774539062079
V331752,1,1,0,2,0.38644153605570286
V331854,1,1,0,2,0.09578226403654953
V331864,1,1,0,2,0.26693070643883954
V331871,1,1,0,2,0.1297335677352801
V331906,1,1,0,2,0.751165401203773
V331934,1,1,0,2,1
V332073,1,1,0,2,0.1331560123962258
V332087,1,1,0,2,0.4424631797579475
V332273,1,1,0,2,0.1279343814939391
V332390,1,1,0,2,0.2947055282027466
V332434,1,1,0,2,0.07009285495694972
V332479,1,1,0,2,0.38282678726785274
V332554,1,1,0,2,0.5432717975139264
V332580,1,1,0,2,0.3066152834011302
V332645,1,1,0,2,0.1826068187815934
V332774,1,1,0,2,0.06472473310144038
V332843,1,1,0,2,0.11333741658615426
V332844,1,1,0,2,0.15009275196041405
V332857,1,1,0,2,0.08996564537466631
V332903,1,1,0,2,0.10110564843996064
V332974,1,1,0,2,0.16838200616968443
V333028,1,1,0,2,0.7358688547237425
V333074,1,1,0,2,0.07491455617879102
V333102,1,1,0,2,0.15286978893799974
V333199,1,1,0,2,0.0698683146760402
V333460,1,1,0,2,0.059517263991525654
V330392,1,0,0,1,0.2880516136638736
V330476,1,0,0,1,0.16258803976981534
V330555,1,0,0,1,0.2927755833189187
V330560,1,0,0,1,0.37161786364348753
V330567,1,0,0,1,0.13260585482892168
V330600,1,0,0,1,0.08038456861519667
V330612,1,0,0,1,0.32891281395369604
V330620,1,0,0,1,1
V330631,1,0,0,1,0.074346466984362
V330674,1,0,0,1,0.09047519981528629
V330722,1,0,0,1,0.6009771963902428
V330746,1,0,0,1,0.10398810528256894
V330759,1,0,0,1,0.12580266235417753
V330765,1,0,0,1,0.2206912588773005
V330778,1,0,0,1,0.3054940584264883
V330792,1,0,0,1,0.400417329688995
V330818,1,0,0,1,0.3775807557223317
V330829,1,0,0,1,0.2988721603502504
V330848,1,0,0,1,0.46570148692718255
V330889,1,0,0,1,0.14201359481538461
V330909,1,0,0,1,0.10550621377288522
V330939,1,0,0,1,0.08534176781879452
V330945,1,0,0,1,0.17300248794679962
V330946,1,0,0,1,0.2742617722229899
V330947,1,0,0,1,0.1567858487378937
V331026,1,0,0,1,0.09815045386880998
V331078,1,0,0,1,0.23027253966595482
V331092,1,0,0,1,0.28917644804224435
V331101,1,0,0,1,0.1685514352224246
V331296,1,0,0,1,0.13679555319637887
V331441,1,0,0,1,0.14352031399850262
V332071,1,0,0,1,0.16248658890691525
V332124,1,0,0,1,0.45110454649382326
V332837,1,0,0,1,0.08806236771975334
V332926,1,0,0,1,0.05346488444086754
V333030,1,0,0,1,0.16672963185001538
V333065,1,0,0,1,0.20781345035545842
V333176,1,0,0,1,0.08953970029680863
V334376,1,0,0,1,0.4729401103773523
V330397,0,1,0,1,-Inf
V330399,0,1,0,1,-Inf
V330458,0,1,0,1,-Inf
V330462,0,1,0,1,-Inf
V330464,0,1,0,1,-Inf
V330466,0,1,0,1,-Inf
V330470,0,1,0,1,-Inf
V330481,0,1,0,1,-Inf
V330507,0,1,0,1,-Inf
V330533,0,1,0,1,-Inf
V330561,0,1,0,1,-Inf
V330565,0,1,0,1,-Inf
V330572,0,1,0,1,-Inf
V330607,0,1,0,1,-Inf
V330613,0,1,0,1,-Inf
V330629,0,1,0,1,-Inf
V330693,0,1,0,1,-Inf
V330718,0,1,0,1,-Inf
V330731,0,1,0,1,-Inf
V330764,0,1,0,1,-Inf
V330788,0,1,0,1,-Inf
V330793,0,1,0,1,-Inf
V330924,0,1,0,1,-Inf
V330934,0,1,0,1,-Inf
V330937,0,1,0,1,-Inf
V330949,0,1,0,1,-Inf
V330954,0,1,0,1,-Inf
V330959,0,1,0,1,-Inf
V331023,0,1,0,1,-Inf
V331141,0,1,0,1,-Inf
V331433,0,1,0,1,-Inf
V331502,0,1,0,1,-Inf
V331532,0,1,0,1,-Inf
V331977,0,1,0,1,-Inf
V331989,0,1,0,1,-Inf
V332040,0,1,0,1,-Inf
V332244,0,1,0,1,-Inf
V332423,0,1,0,1,-Inf
V332516,0,1,0,1,-Inf
V332633,0,1,0,1,-Inf
V333053,0,1,0,1,-Inf
V333410,0,1,0,1,-Inf
