LSPEC,Diatom_Araphid,Diatom_Asymmetric_Biraphid,Diatom_Centric,Diatom_Monoraphid,Diatom_Nitzschioid,Diatom_Symmetric_Biraphid,Diatom_Unknown_Fragment,Phytolith_Acute,Phytolith_Bilobate,Phytolith_Blocky,Phytolith_Brachiate,Phytolith_Bulliform_flabellate,Phytolith_Cross,Phytolith_Elongate,Phytolith_Oblong,Phytolith_Polygonal,Phytolith_Polyhedral,Phytolith_Rondel,Phytolith_Spheroid,Phytolith_Tracheary_annulate,Phytolith_Unknown_Fragment,Diatom_Epithemioid,Diatom_Eunotioid,Diatom_Surirelloid,Diatom_Pennates,Phytolith_Acicular,Phytolith_Geniculate,Phytolith_Saddle,Phytolith_Crenate,Sample_ID,V_number,sample_type,CSTRAT,YEAR
L2543,4,18,66,0,0,18,275,7,1,59,5,0,0,59,128,107,70,10,153,8,279,0,13,0,0,12,0,0,0,V332690_L2543,V332690,Stickleback,636.6,5019.962
L2711,1,4,45,0,0,3,166,25,0,100,12,0,0,160,216,1,229,6,230,5,704,0,8,0,0,13,0,0,0,V332856_L2711,V332856,Stickleback,639.45,4927.671
L2804,1,21,123,0,0,6,307,10,3,72,12,0,0,80,133,20,109,10,205,21,287,1,18,0,0,12,0,0,0,V332949_L2804,V332949,Stickleback,633.7,5113.873
L3054,8,10,74,0,0,13,308,7,2,40,12,0,0,68,143,0,46,6,186,11,453,0,15,0,0,20,0,0,0,V333195_L3054,V333195,Stickleback,642.45,4830.522
L3096,9,23,140,0,0,17,493,8,6,57,12,1,0,75,113,1,58,9,169,15,439,1,19,0,0,34,0,0,0,V333237_L3096,V333237,Stickleback,NA,NA
L3291,6,11,69,0,0,17,202,0,4,45,0,0,1,83,59,8,26,6,87,11,204,1,4,1,0,8,0,0,0,V333449_L3291,V333449,Stickleback,NA,NA
L3351,3,3,34,0,0,6,167,3,1,27,5,0,0,35,74,0,42,3,151,2,400,0,4,0,0,26,0,0,0,V333509_L3351,V333509,Stickleback,651.55,4535.838
L3425,4,17,92,0,0,17,307,0,2,41,4,0,0,77,75,17,42,7,181,10,221,2,4,10,0,20,0,0,0,V333581_L3425,V333581,Stickleback,NA,NA
L3464,2,4,7,0,0,2,149,7,2,17,6,0,0,36,115,0,47,2,164,3,387,0,6,2,0,21,0,0,0,V333620_L3464,V333620,Stickleback,656.6,4372.304
L3515,11,9,38,0,0,1,224,10,1,30,6,0,0,43,130,0,81,9,219,9,511,0,8,1,0,31,0,0,0,V333671_L3515,V333671,Stickleback,659.7,4271.917
L3646,8,5,46,0,0,1,176,3,3,42,5,0,0,54,131,1,97,6,170,0,432,0,7,0,0,25,0,0,0,V333800_L3646,V333800,Stickleback,NA,NA
L3752,12,8,39,0,0,8,191,5,3,49,7,1,0,58,164,0,58,7,245,1,425,1,8,0,0,26,0,0,0,V333906_L3752,V333906,Stickleback,NA,NA
L3863,3,19,100,0,1,43,263,0,5,29,0,0,0,63,38,4,31,7,138,21,163,3,10,1,0,18,0,0,0,V333994_L3863,V333994,Stickleback,NA,NA
